2249;7798200050019;Tostaditas de arroz Crackines 120g;;;;2050,00
2251;7798186071688;Pure de papas Plenna 125g;;;;1640,00
2263;7798181510519;Pan dulce c/ chips choco Smams;;;;7070,00
2264;7798181510526;Pan dulce c/ frutas Smams;;;;7070,00
2273;076625212074;Tostadas clasicas Risky-Dit 150;;;;1700,00
2274;7790895002335;Fanta 500ml;;;;1550,00
2281;7622201702656;Jugo limonada Clight;;;;380,00
2287;2287;Tarta verdura Chuño;;;;6600,00
2288;2288;Tarta jamon y queso Chuño;;;;6600,00
2289;2289;Pastafrola membrillo Chuño;;;;3300,00
2290;2290;Pastafrola batata Chuño;;;;3300,00
2291;2291;Valeria choc.y ddl Chuño;;;;3300,00
2305;7898954933610;Pan frances Schar 100g;;;;4820,00
2309;7798160700290;Galletitas coco Delicel 150g;;;;2000,00
2324;7794786910037;Galletita dulce de limon Dantelli 35g;;;;750,00
2326;77969118;Chicle frutilla Beldent;;;;680,00
2349;7790895647659;Agua sin gas Benedictino 1,5L;;;;1300,00
2350;7790895000782;Coca cola original 500c.c;;;;1550,00
2351;7898954933467;Pan rustico Schar 200g;;;;5770,00
2376;2376;Budin de limon Sol de invierno;;;;4850,00
2378;2378;Budin con chips Sol de invierno;;;;4850,00
2379;2379;Pan de molde grande Sol de invierno;;;;3600,00
2380;2380;Pan molde chico Sol de invierno;;;;2450,00
2382;2382;Pan de hamburguesa Sol de invierno;;;;2650,00
2383;2383;Prepizza Sol de invierno;;;;3460,00
2385;2385;Tartines calabaza y choclo x 2uni Sol de Invierno.;;;;5770,00
2386;2386;Tartines pollo y verdeo x 2 unid. Sol de invierno;;;;6350,00
2389;2389;Caramelos Flynn paff;;;;100,00
2401;2401;Tartines verdura Sol de invierno;;;;5200,00
2403;2403;Tartines de jamon y queso Sol de invierno;;;;6350,00
2406;7622201703141;Jugo Naranja Dulce Clight;;;;380,00
2408;7798191490054;Anillitos Abucel;;;;1100,00
2410;614143143960;Tostadas IntiPan 150g;;;;2780,00
2411;781718851671;Tostadas c/semilla IntiPan 150g;;;;2780,00
2437;7798120324009;Sopa espinaca Bon wert 40g;;;;2400,00
2438;7790127000757;Salsa de soja Vanoli 500g;;;;2300,00
2439;7797257001067;Botellon Ivess x 6 lts;;;;2500,00
2440;7797257001203;Botellon Ivess (-sodio) x 6 lts;;;;2800,00
2443;7794786391003;Galletitas horus Dantelli 90g;;;;1280,00
